Column 1 1 2 1,CATEGORY,Column 1 2 1 3 2 1 1,Column 1 2 1 3 2 2 1,Column 1 2 1 3 2 3 1,Column 1 2 1 3 2 4 1
"""PandaFlow - Sync Zoom with Salesforce or HubSpot""","[""education"",""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Talk2Me""","[""education"",""learning-development""]","""Product Usage""",,,
"""Loop Messenger""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""TeachFX""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""LivingLens""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""imicroapp""","[""customer-service""]",,,,
"""MPA-Online Virtual Judging""","[""education"",""team-collaborations""]",,,,
"""My Writing Coach""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""passtree.net""","[""education"",""productivity""]","""Product Usage""",,,
"""Total PT Fitness""","[""health-care"",""scheduling-calendar""]",,,,
"""Laylo""","[""crm""]","""Product Usage""",,,
"""SmartVoom""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Cloud Concinnity""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Roulons Electrique""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Firmbird""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Metl""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Vei""","[""education"",""social-activities""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""umowiono.pl""","[""customer-service""]","""Product Usage""",,,
"""LTI Pro""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Slack""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Google Calendar Notifications""","[""scheduling-calendar""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Rooster""","[""scheduling-calendar""]","""Product Usage""",,,
"""Zendesk by Zoom""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Miro""","[""team-collaborations""]","""Product Usage""",,,
"""Tray.io""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Salesloft Scheduling""","[""scheduling-calendar""]","""Product Usage""",,,
"""SimpleClinic""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Jenkins""","[""productivity""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Schoology LTI""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Jotform""","[""health-care"",""scheduling-calendar""]","""Product Usage""",,,
"""Digital Certificates""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Meeting Launcher""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""GrowthZone""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ManageBac""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Event Viewer""","[""eventmanagement"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Chorus App for Zoom""","[""sales-automation""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Clipwise for Zoom Admins""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""LINC Biz""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Kundelik.Conferences""","[""education"",""learning-development""]",,,,
"""Events Calendar""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""twine for Zoom""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Eventzilla""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Hive Notes""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""inGroups""","[""education"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Nookal""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Paperbell""","[""eventmanagement""]","""Product Usage""",,,
"""Certain""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""JRNI""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Setster Appointment Scheduling""","[""scheduling-calendar""]","""Product Usage""",,,
"""ClubRight""","[""health-care"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""FaxSIPit""","[""productivity""]","""Product Usage""",,,
"""Verbit Live Stream""","[""education"",""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Spool""","[""sales-automation"",""team-collaborations"",""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Mentornity""","[""learning-development""]","""Product Usage""",,,
"""simplevle""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Odro Connector""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""CUBallot VAM Integration""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""My Portal App""","[""scheduling-calendar""]","""Product Usage""",,,
"""Zulip Cloud""","[""team-collaborations""]",,,,
"""Offsyte""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ProTrainings Course Scheduler""","[""education"",""learning-development""]",,,,
"""Gmelius""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""OpenApply""","[""education"",""learning-development""]","""Product Usage""",,,
"""Zoom for Salesforce""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Bigin by Zoho CRM""","[""crm""]","""Product Usage""",,,
"""Workiz""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Liscio""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Almendra""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""OnlyExperts""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ActiveDEMAND""","[""marketing""]","""Product Usage""",,,
"""Dubber EMEA""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SuperOffice CRM""","[""crm""]","""Product Usage""",,,
"""DashQ for Zoom""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Gymdesk""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""LivingMatrix""","[""health-care"",""health-wellness""]","""Product Usage""",,,
"""Examin8 by myCBSEguide""","[""education"",""learning-development""]","""Product Usage""",,,
"""Taggg""","[""scheduling-calendar""]","""Product Usage""",,,
"""MAILPLUG messenger""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Airgram""","[""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""BoomCal""","[""scheduling-calendar""]","""Product Usage""",,,
"""Freddie Med""","[""health-wellness""]","""Product Usage""",,,
"""Invitario""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Breeze""","[""scheduling-calendar""]","""Product Usage""",,,
"""Introwise""","[""scheduling-calendar""]","""Product Usage""",,,
"""KloudLearn""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Vbrick Rev - Asia Pacific""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zoom for Smart Training""","[""education"",""eventmanagement""]",,,,
"""Prox""","[""scheduling-calendar"",""team-collaborations""]","""Product Usage""",,,
"""InfluencerSoft""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Enriching Teachers""","[""education"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Solvably""","[""education"",""learning-development""]",,,,
"""Mentor Matchmaker""","[""education"",""productivity""]","""Product Usage""",,,
"""Smol Coach - Run your business on video""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""AhoyTeam""","[""team-collaborations""]","""Product Usage""",,,
"""Nutrition Maker""","[""health-care"",""health-wellness""]",,,,
"""Planyo.com""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Knoblr xmCom""","[""education"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""V-Unite Virtual Event Experiences""","[""eventmanagement""]","""Product Usage""",,,
"""Sophia High School Online Classes""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""AlltrainedUp""","[""education"",""scheduling-calendar""]","""Content""","""Product Usage""",,
"""Eteach""","[""education"",""scheduling-calendar""]","""Product Usage""",,,
"""Asana moments""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SaaSLicense""","[""analytics""]","""Product Usage""",,,
"""Maya Virtual Assistant""","[""productivity""]","""Product Usage""",,,
"""Kwivrr""","[""eventmanagement""]","""Product Usage""",,,
"""Panelfox""","[""scheduling-calendar""]",,,,
"""Flobook""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Ontario Mathematics Proficiency Test""","[""education"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Maoni""","[""transcription-translation""]","""Registration Information""","""Content""","""Product Usage""",
"""Tutor Platform""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Panopto""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Calendly for Zoom""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Moodle LTI""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Intercom""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Avoma Meeting Assistant""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""VI App""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""bsport""","[""social-activities""]",,,,
"""Equeo""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Genesys Cloud Integration""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Pabbly Connect""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Modern Hire - Com""","[""human-resources""]","""Product Usage""",,,
"""Salesloft Conversations""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Dive - Remote team engagement made easy""","[""games"",""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""IFTTT for Zoom Phone""","[""productivity""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Vimcal""","[""scheduling-calendar""]","""Product Usage""",,,
"""PublicInput""","[""content-and-compliance"",""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Akiflow""","[""productivity""]","""Product Usage""",,,
"""Evernote""","[""productivity""]","""Content""","""Product Usage""",,
"""Marvelous""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Cornerstone Learning Suite for Zoom Video Webinars""","[""learning-development""]","""Registration Information""","""Content""","""Product Usage""",
"""And Now...Trivia!""","[""games""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Jicoo""","[""productivity""]","""Product Usage""",,,
"""Builderall Booking""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Mobilize""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Colibri.ai""","[""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Nasdaq Boardvantage""","[""team-collaborations""]","""Product Usage""",,,
"""Podia""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Mailmodo""","[""eventmanagement""]","""Product Usage""",,,
"""Brainier""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""FlexBooker""","[""scheduling-calendar""]","""Product Usage""",,,
"""SimplyMeet.me""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""JOBCAN_ATS""","[""scheduling-calendar""]","""Product Usage""",,,
"""Productiv - License Provisioning""","[""analytics""]",,,,
"""classmall""","[""scheduling-calendar""]","""Product Usage""",,,
"""Zeeg & Zoom""","[""scheduling-calendar""]","""Product Usage""",,,
"""Zoom for Magicline""","[""crm""]","""Product Usage""",,,
"""Appointment Reminder""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""LoGoChat""","[""team-collaborations""]","""Product Usage""",,,
"""Great Question""","[""transcription-translation""]","""Registration Information""","""Content""","""Product Usage""",
"""appyRewards for Events & Meetings""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Smoothbook""","[""eventmanagement""]","""Product Usage""",,,
"""KREDO""","[""education"",""learning-development""]","""Product Usage""",,,
"""Toyokumo Scheduler""","[""productivity"",""scheduling-calendar"",""team-collaborations""]","""Product Usage""",,,
"""Uptoo""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Demoflow""","[""sales-automation""]","""Content""","""Product Usage""",,
"""MailChimp Notifications""","[""marketing""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Lemonade.tv""","[""sales-automation"",""social-activities"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Omcean Booking""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Deit""","[""health-wellness"",""scheduling-calendar""]","""Product Usage""",,,
"""TurboHire""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""BookingLive Connect""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Vanco Mobile for Zoom""","[""team-collaborations""]","""Product Usage""",,,
"""SKILLGATE / JOB GATE""","[""education"",""learning-development""]","""Product Usage""",,,
"""Martin""","[""productivity""]","""Product Usage""",,,
"""Melon LMS""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ScheduleIQ""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Excelicare""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MyCo""","[""crm""]","""Product Usage""",,,
"""QuickMinutes""","[""team-collaborations""]",,,,
"""Five To Nine""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Amplify OMS""","[""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""CTX Vision""","[""customer-service""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Everyspace""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""VinnyChat""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Consolidate""","[""productivity""]",,,,
"""Techtud""","[""education"",""learning-development""]",,,,
"""Jifflenow""","[""scheduling-calendar""]","""Product Usage""",,,
"""MyVidya""","[""learning-development""]",,,,
"""Knoblr Huddles""","[""education"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""VipeCloud Connect""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""IdealSeat""","[""eventmanagement""]","""Product Usage""",,,
"""Caredove""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Torq""","[""team-collaborations""]","""Product Usage""",,,
"""Alumnifire""","[""education"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""EventSprout""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""BizteX Connect""","[""productivity""]",,,,
"""EdenOS Genesis""","[""team-collaborations""]",,,,
"""Simplicant""","[""human-resources""]","""Product Usage""",,,
"""Eventhome""","[""eventmanagement"",""social-activities""]","""Product Usage""",,,
"""Kolegia School Manager""","[""customer-service"",""education""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ZealSchedule""","[""scheduling-calendar""]","""Product Usage""",,,
"""SchedoolME""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""o-pen.tv""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Alchemy Lectures""","[""learning-development""]","""Registration Information""","""Content""","""Product Usage""",
"""CentreStage""","[""education"",""learning-development""]",,,,
"""ASM Meetings""","[""health-care"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Eventtia""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""iceScrum""","[""productivity""]","""Product Usage""",,,
"""Bype""","[""scheduling-calendar""]","""Product Usage""",,,
"""DanceClasses Live""","[""social-activities""]","""Product Usage""",,,
"""JOIN2WORK""","[""scheduling-calendar""]",,,,
"""Raklet - CRM, Memberships, Events, Community""","[""crm"",""eventmanagement"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Onna""","[""content-and-compliance""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Class for Users""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Fantastical for iOS""","[""productivity""]","""Product Usage""",,,
"""Eventbrite 2.0""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Slapdash""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
