Column 1 1 2 1,CATEGORY,Column 1 2 1 2 1,Column 1 2 1 3 1,Column 1 2 1 4 1
"""SimpleClinic""","[""health-care"",""health-wellness""]","""Profile & Contact Information""","""Settings""",
"""Jenkins""","[""productivity""]",,,
"""Schoology LTI""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Jotform""","[""health-care"",""scheduling-calendar""]",,,
"""Digital Certificates""","[""productivity""]",,,
"""Meeting Launcher""","[""team-collaborations""]",,,
"""GrowthZone""","[""crm""]",,,
"""ManageBac""","[""education"",""learning-development""]",,,
"""Event Viewer""","[""eventmanagement"",""scheduling-calendar""]",,,
"""Chorus App for Zoom""","[""sales-automation""]",,,
"""Clipwise for Zoom Admins""","[""recording-transcriptions""]","""Account Information""",,
"""LINC Biz""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Kundelik.Conferences""","[""education"",""learning-development""]",,,
"""Events Calendar""","[""marketing""]",,,
"""twine for Zoom""","[""eventmanagement""]",,,
"""Eventzilla""","[""eventmanagement""]",,,
"""Hive Notes""","[""team-collaborations""]",,,
"""inGroups""","[""education"",""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Nookal""","[""health-care"",""health-wellness""]",,,
"""Paperbell""","[""eventmanagement""]",,,
"""Certain""","[""marketing""]",,,
"""JRNI""","[""scheduling-calendar""]",,,
"""Setster Appointment Scheduling""","[""scheduling-calendar""]",,,
"""ClubRight""","[""health-care"",""learning-development""]",,,
"""FaxSIPit""","[""productivity""]",,,
"""Verbit Live Stream""","[""education"",""transcription-translation""]",,,
"""Spool""","[""sales-automation"",""team-collaborations"",""transcription-translation""]","""Profile & Contact Information""","""Settings""",
"""Mentornity""","[""learning-development""]",,,
"""simplevle""","[""education"",""learning-development""]",,,
"""Odro Connector""","[""recording-transcriptions""]",,,
"""CUBallot VAM Integration""","[""eventmanagement""]",,,
"""My Portal App""","[""scheduling-calendar""]",,,
"""Zulip Cloud""","[""team-collaborations""]",,,
"""Offsyte""","[""scheduling-calendar""]",,,
"""ProTrainings Course Scheduler""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Gmelius""","[""team-collaborations""]",,,
"""OpenApply""","[""education"",""learning-development""]",,,
"""Zoom for Salesforce""","[""crm""]",,,
"""Bigin by Zoho CRM""","[""crm""]",,,
"""Workiz""","[""scheduling-calendar""]","""Profile & Contact Information""","""Settings""",
"""Liscio""","[""team-collaborations""]",,,
"""Almendra""","[""scheduling-calendar""]",,,
"""OnlyExperts""","[""learning-development""]",,,
"""ActiveDEMAND""","[""marketing""]",,,
"""Dubber EMEA""","[""recording-transcriptions""]",,,
"""SuperOffice CRM""","[""crm""]",,,
"""DashQ for Zoom""","[""crm""]",,,
"""Gymdesk""","[""crm""]",,,
"""LivingMatrix""","[""health-care"",""health-wellness""]",,,
"""Examin8 by myCBSEguide""","[""education"",""learning-development""]",,,
"""Taggg""","[""scheduling-calendar""]",,,
"""MAILPLUG messenger""","[""team-collaborations""]",,,
"""Airgram""","[""transcription-translation""]",,,
"""BoomCal""","[""scheduling-calendar""]",,,
"""Freddie Med""","[""health-wellness""]",,,
"""Invitario""","[""eventmanagement""]",,,
"""Breeze""","[""scheduling-calendar""]",,,
"""Introwise""","[""scheduling-calendar""]",,,
"""KloudLearn""","[""education"",""learning-development""]","""Profile & Contact Information""","""Account Information""","""Settings"""
"""Vbrick Rev - Asia Pacific""","[""team-collaborations""]",,,
"""Zoom for Smart Training""","[""education"",""eventmanagement""]",,,
"""Prox""","[""scheduling-calendar"",""team-collaborations""]",,,
"""InfluencerSoft""","[""crm""]",,,
"""Enriching Teachers""","[""education"",""team-collaborations""]",,,
"""Solvably""","[""education"",""learning-development""]",,,
"""Mentor Matchmaker""","[""education"",""productivity""]","""Profile & Contact Information""","""Settings""",
"""Smol Coach - Run your business on video""","[""scheduling-calendar""]",,,
"""AhoyTeam""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Nutrition Maker""","[""health-care"",""health-wellness""]",,,
"""Planyo.com""","[""scheduling-calendar""]",,,
"""Knoblr xmCom""","[""education"",""team-collaborations""]",,,
"""V-Unite Virtual Event Experiences""","[""eventmanagement""]",,,
"""Sophia High School Online Classes""","[""education"",""learning-development""]",,,
"""AlltrainedUp""","[""education"",""scheduling-calendar""]",,,
"""Eteach""","[""education"",""scheduling-calendar""]",,,
"""Asana moments""","[""recording-transcriptions""]",,,
"""SaaSLicense""","[""analytics""]",,,
"""Maya Virtual Assistant""","[""productivity""]",,,
"""Kwivrr""","[""eventmanagement""]",,,
"""Panelfox""","[""scheduling-calendar""]",,,
"""Flobook""","[""eventmanagement""]",,,
"""Ontario Mathematics Proficiency Test""","[""education"",""scheduling-calendar""]",,,
"""Maoni""","[""transcription-translation""]",,,
"""Tutor Platform""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Panopto""","[""recording-transcriptions""]",,,
"""Calendly for Zoom""","[""scheduling-calendar""]",,,
"""Moodle LTI""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Intercom""","[""sales-automation""]","""Profile & Contact Information""","""Settings""",
"""Avoma Meeting Assistant""","[""sales-automation""]","""Profile & Contact Information""","""Settings""",
"""VI App""","[""education"",""learning-development""]",,,
"""bsport""","[""social-activities""]","""Profile & Contact Information""","""Account Information""","""Settings"""
"""Equeo""","[""learning-development""]",,,
"""Genesys Cloud Integration""","[""team-collaborations""]",,,
"""Pabbly Connect""","[""productivity""]",,,
"""Modern Hire - Com""","[""human-resources""]",,,
"""Salesloft Conversations""","[""sales-automation""]",,,
"""Dive - Remote team engagement made easy""","[""games"",""human-resources""]","""Settings""",,
"""IFTTT for Zoom Phone""","[""productivity""]",,,
"""Vimcal""","[""scheduling-calendar""]",,,
"""PublicInput""","[""content-and-compliance"",""transcription-translation""]",,,
"""Akiflow""","[""productivity""]",,,
"""Evernote""","[""productivity""]",,,
"""Marvelous""","[""education"",""learning-development""]",,,
"""Cornerstone Learning Suite for Zoom Video Webinars""","[""learning-development""]","""Profile & Contact Information""","""Settings""",
"""And Now...Trivia!""","[""games""]",,,
"""Jicoo""","[""productivity""]",,,
"""Builderall Booking""","[""scheduling-calendar""]",,,
"""Mobilize""","[""scheduling-calendar""]",,,
"""Colibri.ai""","[""transcription-translation""]","""Profile & Contact Information""","""Settings""",
"""Nasdaq Boardvantage""","[""team-collaborations""]",,,
"""Podia""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Mailmodo""","[""eventmanagement""]",,,
"""Brainier""","[""learning-development""]",,,
"""FlexBooker""","[""scheduling-calendar""]",,,
"""SimplyMeet.me""","[""scheduling-calendar""]",,,
"""JOBCAN_ATS""","[""scheduling-calendar""]",,,
"""Productiv - License Provisioning""","[""analytics""]","""Profile & Contact Information""","""Settings""",
"""classmall""","[""scheduling-calendar""]",,,
"""Zeeg & Zoom""","[""scheduling-calendar""]",,,
"""Zoom for Magicline""","[""crm""]",,,
"""Appointment Reminder""","[""scheduling-calendar""]",,,
"""LoGoChat""","[""team-collaborations""]",,,
"""Great Question""","[""transcription-translation""]",,,
"""appyRewards for Events & Meetings""","[""marketing""]",,,
"""Smoothbook""","[""eventmanagement""]",,,
"""KREDO""","[""education"",""learning-development""]",,,
"""Toyokumo Scheduler""","[""productivity"",""scheduling-calendar"",""team-collaborations""]",,,
"""Uptoo""","[""team-collaborations""]",,,
"""Demoflow""","[""sales-automation""]",,,
"""MailChimp Notifications""","[""marketing""]",,,
"""Lemonade.tv""","[""sales-automation"",""social-activities"",""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Omcean Booking""","[""learning-development""]",,,
"""Deit""","[""health-wellness"",""scheduling-calendar""]",,,
"""TurboHire""","[""human-resources""]",,,
"""BookingLive Connect""","[""scheduling-calendar""]",,,
"""Vanco Mobile for Zoom""","[""team-collaborations""]",,,
"""SKILLGATE / JOB GATE""","[""education"",""learning-development""]",,,
"""Martin""","[""productivity""]",,,
"""Melon LMS""","[""learning-development""]",,,
"""ScheduleIQ""","[""scheduling-calendar""]",,,
"""Excelicare""","[""health-care"",""health-wellness""]",,,
"""MyCo""","[""crm""]",,,
"""QuickMinutes""","[""team-collaborations""]",,,
"""Five To Nine""","[""team-collaborations""]",,,
"""Amplify OMS""","[""health-wellness""]","""Profile & Contact Information""","""Settings""",
"""CTX Vision""","[""customer-service""]",,,
"""Everyspace""","[""eventmanagement""]",,,
"""VinnyChat""","[""crm""]",,,
"""Consolidate""","[""productivity""]",,,
"""Techtud""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Jifflenow""","[""scheduling-calendar""]",,,
"""MyVidya""","[""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Knoblr Huddles""","[""education"",""team-collaborations""]",,,
"""VipeCloud Connect""","[""crm""]","""Profile & Contact Information""","""Settings""",
"""IdealSeat""","[""eventmanagement""]",,,
"""Caredove""","[""health-care"",""health-wellness""]",,,
"""Torq""","[""team-collaborations""]",,,
"""Alumnifire""","[""education"",""team-collaborations""]",,,
"""EventSprout""","[""eventmanagement""]",,,
"""BizteX Connect""","[""productivity""]","""Profile & Contact Information""","""Settings""",
"""EdenOS Genesis""","[""team-collaborations""]",,,
"""Simplicant""","[""human-resources""]",,,
"""Eventhome""","[""eventmanagement"",""social-activities""]",,,
"""Kolegia School Manager""","[""customer-service"",""education""]",,,
"""ZealSchedule""","[""scheduling-calendar""]",,,
"""SchedoolME""","[""scheduling-calendar""]",,,
"""o-pen.tv""","[""education"",""learning-development""]","""Profile & Contact Information""","""Account Information""","""Settings"""
"""Alchemy Lectures""","[""learning-development""]",,,
"""CentreStage""","[""education"",""learning-development""]",,,
"""ASM Meetings""","[""health-care"",""team-collaborations""]",,,
"""Eventtia""","[""eventmanagement""]",,,
"""iceScrum""","[""productivity""]",,,
"""Bype""","[""scheduling-calendar""]",,,
"""DanceClasses Live""","[""social-activities""]",,,
"""JOIN2WORK""","[""scheduling-calendar""]",,,
"""Raklet - CRM, Memberships, Events, Community""","[""crm"",""eventmanagement"",""learning-development""]",,,
"""Onna""","[""content-and-compliance""]",,,
"""Class for Users""","[""education"",""learning-development""]",,,
"""Fantastical for iOS""","[""productivity""]",,,
"""Eventbrite 2.0""","[""eventmanagement""]",,,
"""Slapdash""","[""productivity""]",,,
"""Salesforce Sales Cloud 360""","[""crm""]",,,
"""Zoom vILT for Cornerstone Learning Suite""","[""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Asana App for Zoom""","[""team-collaborations""]",,,
"""Prodoscore""","[""analytics""]",,,
"""Pipedream for Zoom Admins""","[""team-collaborations""]","""Profile & Contact Information""","""Account Information""","""Settings"""
"""Adservio""","[""education"",""learning-development""]",,,
"""Pexels - Virtual Backgrounds""","[""productivity""]",,,
"""SimpleUpdates""","[""team-collaborations""]",,,
"""Polly""","[""human-resources"",""productivity"",""team-collaborations""]",,,
"""Clio""","[""scheduling-calendar""]",,,
"""GitHub""","[""productivity""]",,,
"""Translate It!""","[""productivity""]",,,
"""SavvyCal""","[""scheduling-calendar""]",,,
"""Freshteam""","[""human-resources""]",,,
"""GR8 People""","[""human-resources""]",,,
"""Notejoy""","[""productivity""]",,,
"""Clockwise for Admin""","[""scheduling-calendar""]",,,
"""Picktime""","[""scheduling-calendar""]",,,
"""Confluence""","[""productivity""]",,,
"""Josys""","[""analytics"",""content-and-compliance"",""productivity""]","""Profile & Contact Information""","""Settings""",
"""Smokeball""","[""productivity""]","""Settings""",,
"""Apptoto""","[""scheduling-calendar""]",,,
"""Xert Sessions""","[""social-activities""]",,,
"""Yobs""","[""human-resources""]",,,
"""Theta Lake Realtime Compliance Advisor""","[""content-and-compliance""]",,,
"""Managr""","[""sales-automation""]",,,
"""Donation & Payment Buttons - PayPal & Stripe""","[""eCommerce""]",,,
"""Yottled""","[""learning-development""]",,,
"""Snipfeed""","[""scheduling-calendar""]",,,
"""Element451""","[""crm"",""education""]",,,
"""Lessonly""","[""learning-development""]",,,
"""GameApart""","[""games""]",,,
"""Cialfo Meetings""","[""education"",""scheduling-calendar""]",,,
"""EventTitans""","[""eventmanagement""]",,,
"""Book Interpreters with KUDO""","[""education"",""team-collaborations""]",,,
"""Lark""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Shaperon""","[""scheduling-calendar""]",,,
"""Xola""","[""scheduling-calendar""]",,,
"""Simply.Coach""","[""scheduling-calendar""]",,,
"""Motivate""","[""customer-service""]",,,
"""BookFit""","[""health-care"",""social-activities""]",,,
"""eArcu Video""","[""human-resources""]",,,
"""Meeting Evolution""","[""education"",""eventmanagement""]",,,
"""hackajob Interviews""","[""human-resources""]",,,
"""ActivityRockets""","[""education"",""learning-development""]",,,
"""Tripwire Configuration Manager""","[""content-and-compliance""]","""Profile & Contact Information""","""Account Information""","""Settings"""
"""Vymo""","[""sales-automation""]",,,
"""Booking Autopilot""","[""scheduling-calendar""]",,,
"""AION Integration For Zoom""","[""scheduling-calendar""]",,,
"""Kanamic Cloud Service""","[""team-collaborations""]",,,
"""Timeless Calendar""","[""scheduling-calendar""]",,,
"""Hectic""","[""productivity""]",,,
"""BOXMAGIC""","[""health-care"",""scheduling-calendar""]",,,
"""Lightstep Incident Response - Account App""","[""team-collaborations""]",,,
"""LinksUp""","[""sales-automation"",""scheduling-calendar""]",,,
"""Evaluar.com""","[""productivity""]",,,
"""Uptick""","[""productivity""]",,,
"""OBODO""","[""learning-development""]",,,
"""CondomobMeeting""","[""scheduling-calendar""]",,,
"""Riva Insight""","[""productivity""]",,,
"""Lightstep Incident Response - User App""","[""team-collaborations""]",,,
"""Keevue for Zoom""","[""eventmanagement""]",,,
"""Im Fine""","[""health-care"",""health-wellness""]",,,
"""INCITE""","[""learning-development""]",,,
"""TTM Connect""","[""eventmanagement""]",,,
"""Onsite.fun Events for Remote-First Companies""","[""human-resources""]",,,
"""Dashly""","[""sales-automation""]",,,
"""FranDesQ""","[""crm""]",,,
"""BlueCallom Deep""","[""team-collaborations""]",,,
"""Hirebee.ai""","[""crm""]",,,
"""SkillsHunt Interviews""","[""scheduling-calendar""]",,,
"""eArcu""","[""human-resources""]",,,
"""Hadathcom""","[""eventmanagement""]",,,
"""BoodsKapper""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""airsubs""","[""eventmanagement""]",,,
"""Hancom Mail""","[""productivity""]",,,
"""Ment""","[""recording-transcriptions""]",,,
"""Dental Widget""","[""eventmanagement""]",,,
"""Bitpod Event""","[""education"",""productivity""]",,,
"""connectee""","[""marketing""]",,,
"""Softdiet""","[""health-wellness""]",,,
"""Trainforce""","[""education"",""learning-development""]",,,
"""novad.com.au""","[""education"",""learning-development""]",,,
"""Wimzel""","[""productivity""]",,,
"""Meetaide""","[""scheduling-calendar""]",,,
"""BizteX Connect for users""","[""productivity""]",,,
"""SkyKick Cloud Manager""","[""productivity""]","""Profile & Contact Information""","""Account Information""","""Settings"""
"""Gong for Zoom Meetings""","[""sales-automation""]","""Profile & Contact Information""","""Settings""",
"""OneLogin""","[""content-and-compliance""]","""Profile & Contact Information""","""Account Information""","""Settings"""
"""Acuity Scheduling""","[""scheduling-calendar""]","""Profile & Contact Information""","""Settings""",
"""Jira Notifications""","[""productivity""]",,,
"""ManagedMethods""","[""content-and-compliance"",""education""]",,,
"""Smarsh for Meetings""","[""content-and-compliance""]","""Account Information""",,
"""Edupage""","[""education"",""learning-development""]",,,
"""1-Tap Applause with Applause Studio""","[""social-activities""]","""Devices""",,
"""EZFacility""","[""scheduling-calendar""]",,,
"""HeySummit""","[""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Smarsh Cloud Capture for Zoom""","[""content-and-compliance""]",,,
"""BuildBetter Research""","[""recording-transcriptions""]",,,
"""HoneyBook""","[""crm""]",,,
"""ringDNA""","[""sales-automation""]",,,
"""Five9""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Meeting Metrics""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Classpro""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Eversports""","[""eventmanagement""]",,,
"""GoDaddy Online Appointments""","[""scheduling-calendar""]",,,
"""Bitconf - Bitrix24""","[""crm""]",,,
"""Thinkific""","[""learning-development""]",,,
"""LearnWorlds""","[""learning-development""]",,,
"""Dovetail""","[""transcription-translation""]",,,
"""Simbli""","[""education"",""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Gymcatch""","[""scheduling-calendar""]",,,
"""EHRYourway""","[""health-wellness""]","""Profile & Contact Information""","""Settings""",
"""Koalendar""","[""scheduling-calendar""]",,,
"""HERP""","[""scheduling-calendar""]",,,
"""Unity""","[""customer-service""]",,,
"""Zoom Video Tools by Cinamaker""","[""productivity""]",,,
"""Bundle""","[""human-resources""]","""Profile & Contact Information""","""Settings""",
"""CatchApp Bookings""","[""scheduling-calendar""]",,,
"""Docket""","[""team-collaborations""]",,,
"""Yello for Zoom""","[""eventmanagement""]",,,
"""MindTickle""","[""sales-automation""]",,,
"""GoodTime Meet""","[""scheduling-calendar""]",,,
"""Ingenify""","[""learning-development""]",,,
"""bamboo""","[""team-collaborations""]",,,
"""ClubManager""","[""eventmanagement""]",,,
"""Laxis - Meeting Notes and Insight""","[""transcription-translation""]",,,
"""Ofimedic""","[""health-care"",""health-wellness""]",,,
"""OmniXRM Conference Call""","[""crm""]","""Profile & Contact Information""","""Settings""",
"""Happeo""","[""productivity"",""team-collaborations""]",,,
"""Appointo""","[""scheduling-calendar""]",,,
"""Profi""","[""health-care"",""scheduling-calendar""]",,,
"""YOGABODY Class Link Builder""","[""health-care"",""marketing""]","""Profile & Contact Information""","""Settings""",
"""Dubber APAC""","[""recording-transcriptions""]",,,
"""YaDoc Quick""","[""health-wellness""]",,,
"""Resova""","[""eventmanagement""]",,,
"""Agiled""","[""crm""]",,,
"""TidyHQ""","[""team-collaborations""]",,,
"""Nudge Coach""","[""health-care"",""scheduling-calendar""]",,,
"""Zoom for Bridge Instructors""","[""eventmanagement""]",,,
"""Nabooki""","[""scheduling-calendar""]",,,
"""Squadzip""","[""productivity""]",,,
"""Compose""","[""productivity""]",,,
"""Evie""","[""human-resources""]",,,
"""Perfect Recall""","[""transcription-translation""]",,,
"""Giveffect""","[""crm""]",,,
"""eSPACE Facility and Event Management""","[""scheduling-calendar""]",,,
"""CellarPass""","[""scheduling-calendar""]",,,
"""Transcribe""","[""transcription-translation""]",,,
"""Elevatus""","[""human-resources""]",,,
"""Tucan.ai""","[""productivity""]",,,
"""ClientManager""","[""crm""]",,,
"""Click4""","[""social-activities""]",,,
"""envite""","[""productivity"",""scheduling-calendar"",""team-collaborations""]",,,
"""Hippo Video""","[""marketing""]",,,
"""Dafoor""","[""education"",""learning-development"",""scheduling-calendar""]",,,
"""Coffee Roulette""","[""scheduling-calendar""]",,,
"""Legios""","[""education"",""learning-development""]",,,
"""Mitel Teamwork""","[""team-collaborations""]",,,
"""Medixcel Connect""","[""health-wellness""]",,,
"""planetRE Transact""","[""crm""]","""Profile & Contact Information""","""Settings""",
"""10fold""","[""eventmanagement""]",,,
"""TeachSmart""","[""education"",""learning-development"",""scheduling-calendar""]",,,
"""Peekaboox""","[""scheduling-calendar""]",,,
"""Jemi""","[""eventmanagement""]",,,
"""MakePlans""","[""scheduling-calendar""]",,,
"""Evex""","[""eventmanagement""]","""Profile & Contact Information""","""Settings""",
"""Epikwish""","[""scheduling-calendar""]",,,
"""FlooopLife""","[""eventmanagement""]",,,
"""viltana7.com""","[""education"",""scheduling-calendar""]",,,
"""Patter""","[""productivity""]","""Profile & Contact Information""","""Settings""",
"""PayMeet Pro""","[""productivity""]",,,
"""AppointmentCare""","[""scheduling-calendar""]",,,
"""ZMLink""","[""education"",""learning-development""]",,,
"""Digitala protokoll""","[""team-collaborations""]",,,
"""Veloxity CRM""","[""crm""]",,,
"""Big Sofa Technologies""","[""recording-transcriptions""]",,,
"""Locoia""","[""productivity""]",,,
"""Hotmart""","[""learning-development""]",,,
"""Google Workspace""","[""team-collaborations""]","""Settings""",,
"""BrightHire""","[""human-resources""]",,,
"""Blackthorn Events""","[""eventmanagement""]",,,
"""Screenloop""","[""human-resources""]",,,
"""Zoom Webinars & Meetings for PeopleGrove""","[""education"",""learning-development""]",,,
"""Status Hero""","[""team-collaborations""]",,,
"""Theta Lake for Zoom Phone""","[""content-and-compliance""]",,,
"""Motion""","[""productivity""]",,,
"""G2 Track""","[""analytics""]",,,
"""Zluri""","[""analytics""]","""Profile & Contact Information""","""Settings""",
"""Cronofy""","[""health-care"",""scheduling-calendar""]",,,
"""Splash Webinars""","[""marketing""]",,,
"""LITEVIEW""","[""scheduling-calendar""]",,,
"""WorkRamp""","[""learning-development""]",,,
"""Cron""","[""productivity""]",,,
"""Zoom for Kairos3""","[""eventmanagement""]",,,
"""CalendarHero""","[""scheduling-calendar""]",,,
"""Bitrix24 Official Integration""","[""crm""]",,,
"""Recruitee""","[""human-resources""]",,,
"""SkyPrep LMS""","[""learning-development""]","""Profile & Contact Information""","""Settings""",
"""HotProfile""","[""crm""]",,,
"""1 on 1 and Group Meeting Agendas by WorkPatterns""","[""human-resources"",""productivity"",""team-collaborations""]",,,
"""FreeBusy""","[""scheduling-calendar""]",,,
"""eM Client""","[""productivity""]",,,
"""Classkick App for Zoom""","[""education"",""learning-development""]",,,
"""Catchup""","[""team-collaborations"",""team-collaborations""]","""Settings""",,
"""17hats""","[""crm""]",,,
"""JobScore""","[""human-resources""]",,,
"""SubOps""","[""analytics""]",,,
"""Insightly Activity Connector""","[""crm""]",,,
"""Remote Browser - Web co-browsing""","[""team-collaborations""]",,,
"""CalendarHero - Account-Level""","[""scheduling-calendar""]",,,
"""Live2Coursera""","[""education"",""learning-development""]",,,
"""Team Drive for Zoom""","[""recording-transcriptions""]",,,
"""CalendarBridge""","[""scheduling-calendar""]",,,
"""TimeZest""","[""customer-service""]",,,
"""Listener""","[""productivity""]","""Profile & Contact Information""","""Settings""",
